time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	6.008857	498.479889	0.206806	-21.142782	443.064270	0.150071
0.010000	6.222407	501.689697	0.206949	-18.169597	440.212311	0.154354
0.020000	5.959151	505.870239	0.207265	-15.719032	439.077118	0.158557
0.030000	6.336085	509.614471	0.207565	-13.455234	437.517487	0.162011
0.040000	6.587835	513.317017	0.207910	-11.565505	436.626770	0.164946
0.050000	6.620052	517.493530	0.208345	-10.558476	437.062805	0.167503
0.060000	7.215599	520.480469	0.208719	-9.208054	436.694824	0.169401
0.070000	7.378063	524.298096	0.209229	-8.666594	437.578125	0.171050
0.080000	8.094192	527.178345	0.209520	-8.004032	437.350677	0.172256
0.090000	8.232723	531.028625	0.209959	-7.590132	438.068878	0.173418
0.100000	8.544304	533.763855	0.210358	-7.298949	437.882507	0.174045
0.110000	8.903749	536.032837	0.210647	-7.133174	436.805817	0.174418
0.120000	8.893623	539.300598	0.211024	-7.373763	436.773102	0.174662
0.130000	9.140771	540.891418	0.211269	-7.326399	434.591339	0.174431
0.140000	8.781326	542.756409	0.211508	-7.790354	433.161163	0.174041
0.150000	8.784087	543.783447	0.211613	-7.788201	430.923462	0.173489
0.160000	8.297617	545.100342	0.211727	-8.380255	428.762848	0.172841
0.170000	7.903654	545.534546	0.211661	-8.745176	425.955017	0.171912
0.180000	7.713575	545.824280	0.211616	-8.840980	422.969727	0.170922
0.190000	7.079829	546.992981	0.211549	-9.713453	421.186859	0.169981
0.200000	6.777913	546.588013	0.211388	-10.215622	418.336151	0.168846
0.210000	6.184668	547.245483	0.211323	-10.998210	417.011230	0.168328
0.220000	5.969276	546.724365	0.211236	-11.816859	415.833801	0.168455
0.230000	5.309296	546.695801	0.211369	-12.341634	416.011200	0.170044
0.240000	5.079638	545.727661	0.211624	-11.214579	415.599854	0.172642
0.250000	5.034074	544.149231	0.211899	-9.514846	414.511749	0.175544
0.260000	4.647015	542.957397	0.212325	-9.189216	414.257843	0.178517
0.270000	4.825127	539.927124	0.212785	-7.953976	413.210846	0.181559
0.280000	4.845837	538.016357	0.213343	-6.800009	412.744720	0.184394
