time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-1.881175	251.126926	0.221620	2.874757	265.423842	0.209641
0.010000	-1.724938	251.213721	0.221926	2.744609	265.186405	0.209593
0.020000	-1.593871	251.297217	0.222232	2.621401	264.960214	0.209584
0.030000	-1.500453	251.369999	0.222538	2.512909	264.758773	0.209643
0.040000	-1.439718	251.420843	0.222843	2.428264	264.597154	0.209782
0.050000	-1.394560	251.440943	0.223144	2.376837	264.488908	0.209998
0.060000	-1.347009	251.433419	0.223436	2.365927	264.442126	0.210276
0.070000	-1.288054	251.419768	0.223713	2.398279	264.457173	0.210593
0.080000	-1.220590	251.437210	0.223966	2.470649	264.527291	0.210930
0.090000	-1.155134	251.525764	0.224184	2.574025	264.641226	0.211269
0.100000	-1.102263	251.710416	0.224358	2.695178	264.786021	0.211596
0.110000	-1.066722	251.987136	0.224482	2.818797	264.948701	0.211901
0.120000	-1.045947	252.319530	0.224555	2.929836	265.116860	0.212173
0.130000	-1.032651	252.647473	0.224584	3.016368	265.278928	0.212407
0.140000	-1.019065	252.903895	0.224582	3.073162	265.424692	0.212600
0.150000	-1.000287	253.033049	0.224572	3.104899	265.546086	0.212755
0.160000	-0.975336	253.003350	0.224574	3.126511	265.637896	0.212879
0.170000	-0.946135	252.810352	0.224607	3.158504	265.698174	0.212980
0.180000	-0.915764	252.470463	0.224680	3.217863	265.728591	0.213064
0.190000	-0.887392	252.011228	0.224788	3.308647	265.735171	0.213134
0.200000	-0.864244	251.465358	0.224916	3.417669	265.729311	0.213190
0.210000	-0.849786	250.871278	0.225046	3.518292	265.728080	0.213230
0.220000	-0.847037	250.276114	0.225162	3.580878	265.752342	0.213254
0.230000	-0.856938	249.734075	0.225252	3.584891	265.822173	0.213264
0.240000	-0.876913	249.297025	0.225304	3.527235	265.950813	0.213262
0.250000	-0.900998	249.001167	0.225304	3.423749	266.139869	0.213252
0.260000	-0.921939	248.857421	0.225241	3.303749	266.378475	0.213236
0.270000	-0.934293	248.850372	0.225108	3.199788	266.647324	0.213214
0.280000	-0.936917	248.944721	0.224912	3.136157	266.925750	0.213184
0.290000	-0.933513	249.094329	0.224675	3.120478	267.198153	0.213141
0.300000	-0.930879	249.249534	0.224427	3.142281	267.456384	0.213078
0.310000	-0.935682	249.362023	0.224191	3.179771	267.697378	0.212990
0.320000	-0.951446	249.389725	0.223975	3.211586	267.918516	0.212870
0.330000	-0.977506	249.304210	0.223767	3.227051	268.114486	0.212715
0.340000	-1.010549	249.099681	0.223541	3.228999	268.278001	0.212524
0.350000	-1.047626	248.798346	0.223275	3.227919	268.403823	0.212304
0.360000	-1.088455	248.446357	0.222963	3.231764	268.493233	0.212065
0.370000	-1.135306	248.099471	0.222621	3.238334	268.556004	0.211816
0.380000	-1.190526	247.804906	0.222277	3.235114	268.608533	0.211570
0.390000	-1.253453	247.589261	0.221958	3.206508	268.668798	0.211335
0.400000	-1.318931	247.458353	0.221679	3.143931	268.750008	0.211112
0.410000	-1.378607	247.406223	0.221438	3.052815	268.855032	0.210904
0.420000	-1.424467	247.424497	0.221225	2.952380	268.973512	0.210706
0.430000	-1.452707	247.504562	0.221032	2.867954	269.083180	0.210514
0.440000	-1.465777	247.632381	0.220856	2.819504	269.156229	0.210323
0.450000	-1.471329	247.782763	0.220702	2.812314	269.169759	0.210130
0.460000	-1.478490	247.920919	0.220572	2.834873	269.116703	0.209933
0.470000	-1.493262	248.013421	0.220466	2.865202	269.011927	0.209738
0.480000	-1.515385	248.042830	0.220375	2.882019	268.889251	0.209551
0.490000	-1.538281	248.016232	0.220292	2.874334	268.789410	0.209378
